"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-10-19;110,799752890949;107,494957;111,750303456279;110,109930264085;3,39569742245868;1;"1";"1";"1";"1";"1";1,03401385212315;"1";1,05558983218164;"1";0,666666666666667;"1";"0";"1";"NaN"
2015-10-20;111,340458327673;109,457634;114,169982016542;110,819964510714;31,3042801900996;1;"1";"1";"1";"1";"1";1,14102971836461;"1";1,13911100658514;"0";0,833333333333333;"0";"0";"0";"NaN"
2015-10-21;113,999694341698;109,448021;115,580417753632;113,699520449718;23,6372238390638;0;"1";"0";"1";"0";"0";0,967621419676214;"0";0,927102272727273;"1";1,16666666666667;"1";"1";"1";"NaN"
2015-10-22;114,329705775342;111,122078;115,499614406061;114,099764852035;39,5119445948752;1;"1";"1";"0";"0";"1";0,978825552649493;"1";0,944185242785554;"0";1,33333333333333;"0";"0";"0";"0"
2015-10-23;116,70030267591;114,566376;119,229652671252;116,329895772827;57,6829261994032;1;"1";"0";"0";"0";"0";0,87936825555635;"0";0,933080568720379;"1";1,5;"1";"1";"1";"1"
2015-10-26;118,079955712977;110,910416;118,129984700503;114,92043273151;24,5067841776836;0;"0";"1";"1";"1";"1";1,01034877891571;"1";1,05614823133071;"0";1,33333333333333;"0";"0";"0";"0"
2015-10-27;115,399542013945;110,208076;116,539625528914;113,990071676873;18,1333742969589;0;"1";"1";"1";"1";"1";1,04728236853734;"1";1,04989848028056;"0";1;"0";"0";"0";"NaN"
2015-10-28;116,930235023457;114,749161;119,299876933844;116,059538340996;53,6092479897423;1;"1";"0";"1";"1";"0";1,02703889356408;"0";0,993921510770139;"0";0,833333333333333;"0";"NaN";"0";"NaN"
2015-10-29;118,699536731399;115,961411;120,690113030657;118,270441985402;57,5157816522554;1;"1";"0";"0";"0";"0";0,96385986931965;"0";0,948075526506899;"1";0,666666666666667;"1";"NaN";"1";"1"
2015-10-30;120,990292991322;114,970459;121,220233909322;119,44997746949;46,4026839984751;0;"0";"0";"0";"0";"0";0,905917553191489;"0";0,934819897084048;"1";0,833333333333333;"1";"0";"1";"0"
2015-11-02;120,79978650661;116,586769;121,359726261999;119,609674002459;59,5515663753547;1;"0";"1";"0";"0";"1";0,960755485184348;"1";1,00440094587493;"0";0,666666666666667;"0";"0";"0";"1"
2015-11-03;120,790178699152;117,924095;123,489819806845;120,69974168414;58,4023112518392;1;"1";"0";"0";"0";"0";0,953943536173352;"0";0,988199798860208;"0";0,666666666666667;"0";"0";"0";"NaN"
2015-11-04;123,129989293557;117,375694;123,81981201977;121,620460901049;52,9965455967694;0;"0";"1";"1";"0";"1";1,00630677085399;"1";1,00914876690533;"1";1;"1";"1";"1";"NaN"
